名称,名称2,承载,省份,县市,year,length,category,序号,longitude,latitude,elevation
鱼洞长江大桥,鱼洞长江大桥,"210国道
 重庆轨道交通2号线",重庆市,"大渡口区
巴南区",2008,1541.6,梁式桥,205,106.500489,29.398316,183
马桑溪长江大桥,马桑溪长江大桥,兰海高速,重庆市,"大渡口区
巴南区",2001,1104.23,斜拉桥,207,106.500489,29.398316,183
菜园坝长江大桥,菜园坝长江大桥,"六车道公路
 重庆轨道交通3号线",重庆市,"渝中区
南岸区",2007,1866,拱桥,213,106.551409,29.540906,238
石板坡长江大桥复线桥,石板坡长江大桥复线桥,四车道公路,重庆市,"渝中区
南岸区",2006,1103.5,梁式桥,214,106.563494,29.543043,189
石板坡长江大桥,石板坡长江大桥,四车道公路,重庆市,"渝中区
南岸区",1980,1121,梁式桥,215,106.563494,29.543043,189
东水门长江大桥,东水门长江大桥,"四车道公路
 重庆轨道交通6号线",重庆市,"渝中区
南岸区",2014,967,斜拉桥,218,106.563494,29.543043,189
朝天门长江大桥,朝天门长江大桥,"六车道公路
 重庆轨道交通环线",重庆市,"江北区
南岸区",2009,4881,拱桥,219,106.580494,29.585501,179
大佛寺长江大桥,大佛寺长江大桥,包茂高速,重庆市,"江北区
南岸区",2001,1168,斜拉桥,220,106.585253,29.604068,191
广阳岛大桥,广阳岛大桥,公路,重庆市,"江北区
南岸区",2007,1129.22,梁式桥,224,106.688593,29.555382,164
新广阳岛大桥,新广阳岛大桥,公路,重庆市,"江北区
南岸区",2018,1010,斜拉桥,225,106.688593,29.555382,164
长寿长江大桥,长寿长江大桥,103省道,重庆市,长寿区,2009,1146,斜拉桥,236,107.060276,29.813716,166
青草背长江大桥,青草背长江大桥,重庆三环高速,重庆市,涪陵区,2013,1652,悬索桥,238,107.351585,29.734048,156
李渡长江大桥,李渡长江大桥,四车道公路,重庆市,涪陵区,2009,822,斜拉桥,239,107.298313,29.724573,212
涪陵长江大桥,涪陵长江大桥,"319国道
 303省道",重庆市,涪陵区,1997,631,斜拉桥,240,107.351585,29.734048,156
石板沟长江大桥,石板沟长江大桥,四车道公路,重庆市,涪陵区,2007,1307,斜拉桥,241,107.410581,29.728431,185
韩家沱长江大桥,韩家沱长江大桥,渝利铁路,重庆市,涪陵区,2011,1137.5,斜拉桥,243,107.351585,29.734048,156
丰都长江大桥,丰都长江大桥,"103省道
 203省道",重庆市,丰都县,1997,620,悬索桥,244,107.674744,29.852824,179
丰都长江二桥,丰都长江二桥,四车道公路,重庆市,丰都县,2017,2234,斜拉桥,245,107.711384,29.866334,144
忠州长江大桥,忠州长江大桥,沪渝高速,重庆市,忠县,2009,2145.2,斜拉桥,246,108.01197,30.230465,127
忠县长江大桥,忠县长江大桥,302省道,重庆市,忠县,2001,1200,悬索桥,247,108.053749,30.299426,231
万州长江大桥,万州长江大桥,318国道,重庆市,万州区,1997,856,拱桥,250,108.429812,30.761926,305
万州长江三桥,万州长江三桥,六车道公路,重庆市,万州区,2018,2200,斜拉桥,252,108.242786,30.449296,106
万州长江二桥,万州长江二桥,四车道公路,重庆市,万州区,2004,1194,悬索桥,253,108.409358,30.824053,170
驸马长江大桥,驸马长江大桥,恩广高速,重庆市,万州区,2017,2003,悬索桥,254,108.473227,30.832641,104
云阳长江大桥,云阳长江大桥,305省道,重庆市,云阳县,2005,637,斜拉桥,255,108.715649,30.912112,89
巫山长江大桥,巫山长江大桥,301省道,重庆市,巫山县,2005,612.2,拱桥,257,109.906469,31.061415,92
巴东长江大桥,巴东长江大桥,209国道,湖北省,巴东县,2004,908,斜拉桥,258,110.333124,31.047397,196
西陵长江大桥,西陵长江大桥,四车道公路,湖北省,宜昌市,1996,1118.66,悬索桥,260,110.68793,30.90645,410
至喜长江大桥,主桥,六车道公路,湖北省,宜昌市,2016,3234.7,悬索桥,262,111.267688,30.713344,57
至喜长江大桥,三江桥,六车道公路,湖北省,宜昌市,2016,3234.7,斜拉桥,263,111.267688,30.713344,57
夷陵长江大桥,夷陵长江大桥,323省道,湖北省,宜昌市,2001,3246,斜拉桥,264,111.306462,30.682967,66
宜昌长江公路大桥,宜昌长江公路大桥,"双尹高速
 沪渝高速",湖北省,宜昌市,2001,1188.3,悬索桥,267,111.391782,30.566381,<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
枝城长江大桥,枝城长江大桥,225省道,湖北省,宜都市,1971,1745,桁架桥,270,111.527248,30.280664,33
枝城长江大桥,枝城长江大桥,焦柳铁路,湖北省,宜都市,1971,1742,桁架桥,271,111.527248,30.280664,33
荆州长江大桥,北汊桥,"二广高速
 207国道",湖北省,荆州市,2002,4397.5,斜拉桥,274,112.224546,30.339117,31
荆州长江大桥,南汊桥,"二广高速
 207国道",湖北省,荆州市,2002,4397.5,斜拉桥,275,112.224546,30.339117,31
荆州长江公铁大桥,荆州长江公铁大桥,"沙公高速
 浩吉铁路",湖北省,"江陵县
公安县",2019,6317.672,斜拉桥,276,112.33237,30.065684,27
石首长江大桥,石首长江大桥,唐石高速,湖北省,石首市,2019,2670,斜拉桥,277,112.497669,29.778379,23
嘉鱼长江大桥,嘉鱼长江大桥,蕲嘉高速,湖北省,"洪湖市
嘉鱼县",2019,4690,斜拉桥,280,113.972524,30.049998,18
军山长江大桥,军山长江大桥,"京港澳高速
 沪渝高速
 武汉绕城高速",湖北省,武汉市,2001,2847,斜拉桥,281,114.292862,30.546994,38
沌口长江大桥,沌口长江大桥,武汉四环线,湖北省,武汉市,2017,5296,斜拉桥,282,114.345192,30.626944,15
白沙洲长江大桥,白沙洲长江大桥,武汉三环线,湖北省,武汉市,2000,3586.38,斜拉桥,283,114.292862,30.546994,38
杨泗港长江大桥,杨泗港长江大桥,"上层：六车道公路
下层：六车道公路",湖北省,武汉市,2019,4317.8,悬索桥,284,114.292862,30.546994,38
鹦鹉洲长江大桥,鹦鹉洲长江大桥,武汉二环线,湖北省,武汉市,2014,3420,悬索桥,285,114.225932,30.552993,23
武汉地铁4号线过江隧道,武汉地铁4号线过江隧道,武汉地铁4号线,湖北省,武汉市,2014,3003,隧道,286,114.321847,30.571057,18
武汉长江大桥,武汉长江大桥,"107国道
 316国道
武汉内环线
 京广铁路",湖北省,武汉市,1957,1670,桁架桥,287,114.288626,30.549505,37
武汉地铁2号线过江隧道,武汉地铁2号线过江隧道,武汉地铁2号线,湖北省,武汉市,2012,3098,隧道,288,114.297918,30.583136,16
武汉长江隧道,武汉长江隧道,四车道公路,湖北省,武汉市,2008,3630,隧道,289,114.321847,30.571057,18
武汉地铁8号线过江隧道,武汉地铁8号线过江隧道,武汉地铁8号线,湖北省,武汉市,2017,3186,隧道,291,114.321847,30.571057,18
武汉长江二桥,武汉长江二桥,武汉内环线,湖北省,武汉市,1995,3971.4,斜拉桥,292,114.325092,30.603008,18
二七长江大桥,二七长江大桥,武汉二环线,湖北省,武汉市,2011,6507,斜拉桥,294,114.366409,30.609211,24
天兴洲长江大桥,天兴洲长江大桥,"武汉三环线
 京广高速铁路、滠武铁路",湖北省,武汉市,2009,4657,斜拉桥,296,114.337553,30.632176,15
青山长江大桥,北汊桥,武汉四环线,湖北省,武汉市,2019,5914,梁式桥,297,114.345192,30.626944,15
青山长江大桥,南汊桥,武汉四环线,湖北省,武汉市,2019,5914,斜拉桥,298,114.345192,30.626944,15
黄冈长江大桥,黄冈长江大桥,"孝应高速
 武黄城际铁路",湖北省,"黄冈市
鄂州市",2014,4008.2,斜拉桥,302,116.017798,29.749334,10
鄂黄长江大桥,鄂黄长江大桥,106国道,湖北省,"黄冈市
鄂州市",2002,3245,斜拉桥,303,114.924011,30.40898,10
黄石长江大桥,黄石长江大桥,201省道,湖北省,"黄石市
浠水县",1995,2580,梁式桥,305,115.083327,30.213199,28
九江长江大桥,九江长江大桥,105国道,"湖北省
江西省","黄梅县
九江市",1993,4460,拱桥,310,116.018002,29.730608,17
九江长江大桥,九江长江大桥,京九铁路,"湖北省
江西省","黄梅县
九江市",1993,7675,拱桥,311,116.018002,29.730608,17
望东长江大桥,望东长江大桥,济广高速,安徽省,"望江县
东至县",2016,4035,斜拉桥,312,116.795744,30.097307,7
安庆长江铁路大桥,安庆长江铁路大桥,宁安城际铁路,安徽省,"安庆市
池州市",2015,2996.8,斜拉桥,315,116.507351,30.217097,26
铜陵长江大桥,铜陵长江大桥,"京台高速
 103省道",安徽省,铜陵市,1995,2592,斜拉桥,318,117.732611,30.854341,22
