name,time,app,authority,status,times,时间,备注,,,,,,,,,
ponda,21,微博国际版,0,allow,4,7:48,19,,,,,,,,,
ponda,21,小红书,0,allow,2,6:06,10,,,,,,,,,
ponda,24,支付宝,0,allow,2,11:33,46,,,,,,,,,
ponda,24,微信,0,allow,5,10:53,192,,,,,,,,,
ponda,24,交通银行,0,allow,8,10:29,2,,交通银行在刚下载的时候，识别码权限是被禁用的，后来使用的时候开放了，所以两个列表里都有ponda,24,交通银行,0,forbidden,3,10:23,3
ponda,24,微博国际版,0,allow,4,9:47,23,,,,,,,,,
ponda,24,QQ,0,allow,1,9:11,126,,,,,,,,,
jkl,9,高德地图,1,allow,2,3:12,清理后台了,9225,,,,,,,,
jkl,9,支付宝,1,allow,3,8:55,清理后台了,3870,,,,,,,,
jkl,12,高德地图,1,allow,3,11:45,没有使用,9228,,,,,,,,
jkl,12,西瓜视频,1,allow,169,12:01,没有主动做与位置相关的操作,5775,,,,,,,,
jkl,12,支付宝,1,allow,34,12:02,,3904,,,,,,,,
jkl,12,微信,1,allow,136,12:05,,19469,,,,,,,,
jkl,12,第一弹泰日韩剧,1,allow,46,12:09,,898,,,,,,,,
jkl,15,西瓜视频,1,allow,2,12:16,,5777,,,,,,,,
jkl,15,高德地图,1,allow,6,12:30,没用,9234,,,,,,,,
jkl,15,第一弹泰日韩剧,1,allow,25,15:31,,923,,,,,,,,
jkl,15,哈_出行,1,allow,7,14:26,,3038,,,,,,,,
jkl,15,QQ,1,allow,10,14:27,,1539,,,,,,,,
jkl,15,微信,1,allow,82,14:51,,19551,,,,,,,,
jkl,15,微博,1,allow,79,14:52,,17347,,,,,,,,
jkl,15,网易云音乐,1,allow,33,14:58,,69,,,,,,,,
jkl,15,支付宝,1,allow,71,14:59,,3975,,,,,,,,
jkl,18,微博,1,allow,92,17:19,,17439,,,,,,,,
jkl,18,高德地图,1,allow,24,17:20,没用,9258,,,,,,,,
jkl,18,QQ,1,allow,4,5:20,,1543,,,,,,,,
jkl,18,哈_出行,1,allow,100,5:27,之前使用的,3138,,,,,,,,
jkl,18,知乎,1,allow,122,5:30,,3053,,,,,,,,
jkl,18,支付宝,1,allow,89,6:18,没用,4064,,,,,,,,
jkl,18,微信,1,allow,41,6:18,,19592,,,,,,,,
jkl,21,QQ,1,allow,6,8:11,没用,1549,,,,,,,,
jkl,21,高德地图,1,allow,12,8:12,没用,9270,,,,,,,,
jkl,21,支付宝,1,allow,70,9:28,没用,4134,,,,,,,,
jkl,21,微信,1,allow,66,9:28,,19658,,,,,,,,
jkl,24,微信,1,allow,160,11:38,,19918,,,,,,,,
jkl,24,QQ,1,allow,6,11:39,没用,1555,,,,,,,,
jkl,24,高德地图,1,allow,10,11:40,没用,9280,,,,,,,,
jkl,24,支付宝,1,allow,68,11:50,没用,4202,,,,,,,,
csj,9,微信,1,allow,1,8:45,46614,,,,,,,,,
csj,9,支付宝,1,allow,4,8:28,13824,,,,,,,,,
csj,9,QQ,1,allow,4,7:44,541,,,,,,,,,
csj,12,微信,1,allow,87,12:00,45376,,,,,,,,,
csj,12,支付宝,1,allow,174,12:00,13123,,,,,,,,,
csj,12,微博,1,allow,130,11:54,29962,,,,,,,,,
csj,12,手机淘宝,1,allow,114,11:39,4293,,,,,,,,,
csj,12,QQ,1,allow,2,11:29,544,,,,,,,,,
csj,12,高德地图,1,allow,13,11:03,26337,,,,,,,,,
csj,12,知乎,1,allow,87,10:06,4891,,,,,,,,,
